;NVC1.3_LOCATION;NVC1.3_BYEAR;NVC1.3_EYEAR;NVC1.3_CAMPAIGN;NVC1.3_SUCCESS;NVC1.3_LIMITED;NVC1.3_FAILURE;NVC1.3_ONGOING;NVC1.3_VIOL;NVC1.3_NONVIOL;NVC1.3_FSELFDET;NVC1.3_REGCHANGE;NVC1.3_SECESSION;NVC1.3_CAMPAIGN.1;NVC1.3_cow
255;Indonesia;1997;1998;anti-Suharto campaign;1;0;0;0;0;1;0;1;0;1;850
256;Indonesia;1999;1999;Student Protests (Anti-Habibie);1;0;0;0;0;1;0;1;0;1;850
257;Iran;1905;1906;Constitutional Revolution;1;0;0;0;0;1;0;1;0;1;630
258;Iran;1908;1909;Constitutionalists;1;0;0;0;1;0;0;1;0;1;630
259;Iran;2005;2018;PJAK;0;0;1;1;1;0;0;0;1;1;630
260;Iran;1977;1979;Iranian Revolution;1;0;0;0;0;1;0;1;0;1;630
261;Iran;1979;1996;KDPI;0;0;1;0;1;0;0;1;0;1;630
262;Iran;1981;2001;Mujahideen;0;0;1;0;1;0;0;1;0;1;630
263;Iran;1945;1946;KDPI (First Separatist Movement);0;0;1;0;0;1;0;0;1;1;630
264;Iran;1999;1999;Tir 18 Riot for democracy;0;0;1;0;0;1;0;1;0;1;630
265;Iran;2009;2013;Green Revolution and Day of Rage;0;1;0;0;0;1;0;1;0;1;630
266;Iran;2017;2019;2017 Iran Anti-Government Protests;0;0;1;1;0;1;0;1;0;1;630
267;Iran;2019;2019;2019 Iranian protests;0;0;1;1;0;1;0;1;0;1;630
268;Iraq;1959;1959;Shammar Tribe and pro-Western officers;0;0;1;0;1;0;0;1;0;1;645
269;Iraq;2008;2009;Sadar's Anti-US Occupation campaign;0;0;1;0;0;1;1;0;0;1;645
270;Iraq;1920;1920;Iraqi rebels;0;1;0;0;1;0;1;0;0;1;645
271;Iraq;1961;1970;Kurdish rebellion;0;1;0;0;1;0;0;0;1;1;645
272;Iraq;1985;1991;Kurdish secession against Saddam;0;0;1;0;1;0;0;0;1;1;645
273;Iraq;1989;1996;SCIRI;0;0;1;0;1;0;0;1;0;1;645
274;Iraq;1996;1996;Kurdish civil conflict;0;0;1;0;1;0;0;0;1;1;645
275;Iraq;1991;1991;Iraqis Protest Saddam Hussein Following Iraqi Withdrawal from Kuwait;0;1;0;0;0;1;0;1;0;1;645
276;Iraq;1991;1991;Shiite rebellion;0;0;1;0;1;0;0;1;0;1;645
277;Iraq;2004;2019;Iraqi insurgency (Sunni/AQI/ISIL);0;0;1;1;1;0;0;1;0;1;645
278;Iraq;2011;2011;Day of Rage Protests;0;1;0;0;0;1;0;1;0;1;645
279;Iraq;2012;2014;Anti-Shiite Government Protests;0;1;0;0;0;1;0;1;0;1;645
280;Iraq;2019;2019;anti-Mahdi movement;1;0;0;0;0;1;0;1;0;1;645
281;Israel;1981;1982;Druze resistance;0;1;0;0;0;1;1;0;0;1;666
282;Italy;1943;1945;Italian resistance;0;0;1;0;1;0;1;0;0;1;325
283;Italy;1946;1946;Trieste Strikes;0;1;0;0;0;1;0;0;1;1;325
284;C么te d鈥橧voire;1989;1990;Ivorian pro-democracy movement;1;0;0;0;0;1;0;1;0;1;437
285;C么te d鈥橧voire;2000;2000;anit-Guei Protests;1;0;0;0;0;1;0;1;0;1;437
286;C么te d鈥橧voire;2002;2005;PMIC;0;0;1;0;1;0;0;1;0;1;437
287;C么te d鈥橧voire;2010;2011;Pro-Ouattara Campaign;1;0;0;0;0;1;0;1;0;1;437
288;Japan;1960;1960;Anti-Kishi Campaign;0;1;0;0;0;1;0;1;0;1;740
289;Jordan;1970;1970;Palestinian activists;0;0;1;0;1;0;0;0;0;1;663
290;Jordan;2011;2013;Protest for Constitutional Reform;0;1;0;0;0;1;0;1;0;1;663
291;Kenya;1938;1938;Kenyan independence movement;0;0;1;0;1;0;1;0;0;1;501
292;Kenya;1952;1956;Mau Mau Rebellion;0;0;1;0;1;0;1;0;0;1;501
293;Kenya;1964;1968;NFDLM secessionists;0;0;1;0;1;0;0;0;1;1;501
294;Kenya;1990;1991;anti-Arap Moi;1;0;0;0;0;1;0;1;0;1;501
295;Kenya;2015;2019;Kenyan Al-Shabaab Insurgency;0;0;1;1;1;0;0;0;1;1;501
296;Kosovo;2015;2019;Kosovo Anti-Governmant Protests;0;0;1;1;0;1;0;1;0;1;347
297;Kyrgyzstan;1990;1991;Kyrgyzstan Democratic Movement;1;0;0;0;0;1;0;1;0;1;703
298;Kyrgyzstan;2005;2005;Tulip Revolution;1;0;0;0;0;1;0;1;0;1;703
299;Kyrgyzstan;2010;2010;Second Revolution;1;0;0;0;0;1;0;1;0;1;703
300;Kyrgyzstan;2010;2010;Anti-Interim Government;0;0;1;0;0;1;0;1;0;1;703
301;Laos;1950;1957;First Pathet Lao;0;0;1;0;1;0;0;1;0;1;812
302;Laos;1959;1975;Second Pathet Lao;1;0;0;0;1;0;0;1;0;1;812
303;Laos;1946;1949;Laotian Independence;1;0;0;0;1;0;1;0;0;1;812
304;Latvia;1989;1991;pro-dem movement;1;0;0;0;0;1;0;1;0;1;367
305;Latvia;1945;1950;Meza Brali (Forest Brothers, Latvian anti-occupation campaign);0;0;1;0;1;0;1;0;0;1;367
306;Lebanon;1951;1952;White Revolution;1;0;0;0;0;1;0;1;0;1;660
307;Lebanon;1958;1958;leftists (anti-Shamun);0;0;1;0;1;0;0;1;0;1;660
308;Lebanon;2005;2005;Cedar Revolution;1;0;0;0;0;1;1;0;0;1;660
309;Lebanon;2006;2008;Lebanon Political Crisis;1;0;0;0;0;1;0;1;0;1;660
310;Lebanon;2006;2006;2006 Lebanon War;0;0;1;0;1;0;1;0;0;1;660
311;Lebanon;1975;1990;leftists;0;0;1;0;1;0;0;1;0;1;660
312;Lebanon;1925;1927;Druze Revolt;0;0;1;0;1;0;1;0;0;1;660
